idActivity,nameActivity,rateActivity,numComment,priceActivity,urlImage,city,distance,openTime,closeTime,typeActivity
0,Nhà thờ Đức Bà Sài Gòn,4.4,22000.0,0,https://lh5.googleusercontent.com/p/AF1QipPfkHG1dWgp7htwiQMwSHgAja0vuFshSnwNtwoU=w148-h148-n-k-no,Hồ Chí Minh,"('10.7797746', '106.616617')",07:00,17:00,Du lịch tâm linh
1,Dinh Độc Lập,4.4,34000.0,40000,https://lh5.googleusercontent.com/p/AF1QipMSw2-evUD0n0ibQLXkkthzFwOhDct59iVvQLA=w148-h148-n-k-no,Hồ Chí Minh,"(0, 0)",08:00,15:30,Du lịch văn hóa & nghệ thuật
2,Khu di tích lịch sử Địa đạo Củ Chi,4.5,12000.0,0,https://lh5.googleusercontent.com/p/AF1QipNL_jAH5dsAqmmjSIXjbBTYZUbSnYXiolimoQMQ=w148-h148-n-k-no,Hồ Chí Minh,"('11.1415798', '106.3791944')",07:00,17:00,Địa danh lịch sử
3,Nhà hát Thành phố Hồ Chí Minh,4.5,13000.0,0,https://lh5.googleusercontent.com/p/AF1QipO1ieLHoA_OWO9Q1QFZDGvspgM-MR2Nl0OIcJey=w148-h148-n-k-no,Hồ Chí Minh,"('10.7766243', '106.6207635')",07:00,17:00,Du lịch văn hóa & nghệ thuật
4,Bảo tàng Chứng tích Chiến tranh,4.5,33000.0,40000,https://lh5.googleusercontent.com/p/AF1QipPwjfXoTp4uuEBODAptmwg054U6pzYeLUhS9W-o=w148-h148-n-k-no,Hồ Chí Minh,"('10.7794997', '106.6096897')",07:30,17:30,Du lịch văn hóa & nghệ thuật
5,Thảo Cầm Viên Sài Gòn,4.2,28000.0,60000,https://lh5.googleusercontent.com/p/AF1QipPbF8KQMjQhVk4B5n2GbNv4NhiEYDrFXpxwKFGO=w148-h148-n-k-no,Hồ Chí Minh,"('10.7875325', '106.6228887')",07:00,17:30,Du lịch sinh thái
6,Chợ Bến Thành,4.0,56000.0,0,https://lh5.googleusercontent.com/p/AF1QipNwl-cCQWsFDi1BDjSEk0jht1bVWC6nPYY2csGi=w148-h148-n-k-no,Hồ Chí Minh,"('10.7725059', '106.6156189')",07:00,17:00,Du lịch văn hóa & nghệ thuật
7,Bảo tàng Lịch sử TP.Hồ Chí Minh,4.4,3200.0,30000,https://lh5.googleusercontent.com/proxy/GyMqRM0ZDwYFEYW0gYhR1QZB7_HBTSKyvjy3R4E7IrCGN5dSLkM_uCd64SFn2US628-8yZv97SfOxV61yUag0hWLHU62Wg1Up5i7q9hC_mpT7NnHrY2TZttWL_cOtgV6DXJB0ny-qMuQTyHhLmurRYGo93bUTBs=w148-h148-n-k-no,Hồ Chí Minh,"('10.7880641', '106.6223272')",08:00,17:00,Du lịch văn hóa & nghệ thuật
8,Bitexco Financial Tower,4.5,18000.0,240000,https://lh5.googleusercontent.com/p/AF1QipPk_DjGR0t3fFZ5fpPTQqcTlXoUXJCJ37ejC8w=w148-h148-n-k-no,Hồ Chí Minh,"(0, 0)",09:30,21:30,Vãn cảnh & Check-in
9,Công viên văn hóa Suối Tiên,4.3,20000.0,150000,https://lh5.googleusercontent.com/p/AF1QipPSXkA6g5wn6V_-j0JVoXal0TezqauNDVcrchPs=w148-h148-n-k-no,Hồ Chí Minh,"(0, 0)",08:00,17:00,Du lịch giải trí
10,Landmark 81,4.6,10000.0,0,https://lh5.googleusercontent.com/p/AF1QipOqZZDzwzSARyZHtzjlOag13UDNEx4Y9TsbXzXQ=w148-h148-n-k-no,Hồ Chí Minh,"(0, 0)",08:30,23:00,Du lịch sinh thái
11,Công viên nước Đầm Sen,4.3,29000.0,200000,https://lh5.googleusercontent.com/p/AF1QipPdU2qKhXMs6_Zn9uB-NjM9knMdcIs-cmugmX66=w148-h148-n-k-no,Hồ Chí Minh,"('10.7688838', '106.553592')",08:30,18:00,Du lịch giải trí
12,Công viên Tao Đàn,4.5,14000.0,0,https://lh5.googleusercontent.com/p/AF1QipMrjizcqNtPqtx2ZRrkFtOOlQhnr1Qhkk5Thela=w148-h148-n-k-no,Hồ Chí Minh,"('10.774527', '106.6100402')",07:00,22:00,Du lịch giải trí
13,Bưu điện trung tâm Sài Gòn,4.4,4000.0,0,https://lh5.googleusercontent.com/p/AF1QipNfw3VBLR8mKthHO528oHyGqPPnmLxObAreyHA=w148-h148-n-k-no,Hồ Chí Minh,"('10.779902', '106.6175001')",07:30,18:00,Vãn cảnh & Check-in
14,Bảo tàng Mỹ thuật Thành phố Hồ Chí Minh,4.3,7800.0,0,https://lh5.googleusercontent.com/p/AF1QipNDPnG_c5ajDl05f-s_HYmzvVJGO_S1xcGmjUEI=w148-h148-n-k-no,Hồ Chí Minh,"('10.7699223', '106.6167136')",08:00,17:00,Du lịch văn hóa & nghệ thuật
15,Nhà Thờ Giáo Xứ Tân Định,4.4,6900.0,0,https://lh5.googleusercontent.com/p/AF1QipOsWzLJHt85WoRRYlx_7DuPt3nijYSUWAMXCILk=w148-h148-n-k-no,Hồ Chí Minh,"('10.7884844', '106.6083693')",08:00,17:00,Du lịch tâm linh
16,Đường Nguyễn Huệ,4.6,433.0,0,https://lh5.googleusercontent.com/p/AF1QipMyBMvZ3UM_DuZsar-gI7K2a4U-vljjUbvPla07=w148-h148-n-k-no,Hồ Chí Minh,"(0, 0)",07:00,17:00,Vãn cảnh & Check-in
